k	p_escape_best	p_escape_if_independent	joint_conservation	guides	genes	below_0.001	below_1e-06
1	0.00475423268917531	0.00475423268917531	1.0	UL19_36407+	UL19	False	False
2	2.260272846282309e-05	2.26027284628231e-05	1.0	UL19_36407+;UL19_37448-	UL19;UL19	True	False
3	1.074586305225068e-07	1.074586305225068e-07	1.0	UL19_36407+;UL19_37448-;UL19_37908+	UL19;UL19;UL19	True	True
4	5.108833339641135e-10	5.108833339641135e-10	1.0	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+	UL19;UL19;UL19;UL19	True	True
5	2.4288582466870552e-12	2.4288582466870556e-12	1.0	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+	UL19;UL19;UL19;UL19;UL19	True	True
6	1.154735727377263e-14	1.1547357273772629e-14	1.0	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-	UL19;UL19;UL19;UL19;UL19;UL29	True	True
7	5.489882342455611e-17	5.489882342455613e-17	1.0	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-;UL29_61292+	UL19;UL19;UL19;UL19;UL19;UL29;UL29	True	True
8	2.61001780922288e-19	2.61001780922288e-19	1.0	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-;UL29_61292+;UL29_61578+	UL19;UL19;UL19;UL19;UL19;UL29;UL29;UL29	True	True
