label	k	p_escape	guides
tol_invariant=0.3	4	1.1526351176584428e-06	UL19_36407+;UL19_37448-;UL19_37908+;UL29_58709-
tol_invariant=0.3	5	3.776720181780361e-08	UL19_36407+;UL19_37448-;UL19_37908+;UL29_58709-;UL30_64599+
tol_invariant=0.3	6	1.2374788094642961e-09	UL19_36407+;UL19_37448-;UL19_37908+;UL29_58709-;UL30_64599+;UL30_66318+
tol_invariant=0.5	1	0.062265886063616015	UL19_36407+
tol_invariant=0.5	2	0.003877040567287212	UL19_36407+;UL19_37448-
tol_invariant=0.5	3	0.00024140736622672238	UL19_36407+;UL19_37448-;UL19_37908+
tol_invariant=0.5	4	1.5031443560390714e-05	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
tol_invariant=0.5	5	9.359461521029628e-07	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+
tol_invariant=0.5	6	5.8277516468522867e-08	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+;UL19_38926+
min_variant_strains=1	1	0.00475423268917531	UL19_36407+
min_variant_strains=1	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
min_variant_strains=1	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
min_variant_strains=1	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
min_variant_strains=1	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
min_variant_strains=1	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
min_variant_strains=2	1	0.00475423268917531	UL19_36407+
min_variant_strains=2	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
min_variant_strains=2	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
min_variant_strains=2	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
min_variant_strains=2	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+
min_variant_strains=2	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+;UL19_39276+
min_variant_strains=3	1	0.00475423268917531	UL19_36407+
min_variant_strains=3	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
min_variant_strains=3	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
min_variant_strains=3	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
min_variant_strains=3	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+
min_variant_strains=3	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+;UL19_39276+
min_variant_strains=5	1	0.00475423268917531	UL19_36407+
min_variant_strains=5	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
min_variant_strains=5	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
min_variant_strains=5	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
min_variant_strains=5	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+
min_variant_strains=5	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38926+;UL19_39276+
spectrum=default	1	0.00475423268917531	UL19_36407+
spectrum=default	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
spectrum=default	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=default	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=default	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
spectrum=default	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
spectrum=deletion-heavy	1	0.0034893632959552908	UL19_36407+
spectrum=deletion-heavy	2	1.2175656211159968e-05	UL19_36407+;UL19_37448-
spectrum=deletion-heavy	3	4.248528788739169e-08	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=deletion-heavy	4	1.4824660417235844e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=deletion-heavy	5	5.172862593490399e-13	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
spectrum=deletion-heavy	6	1.8049996868745497e-15	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
spectrum=insertion-heavy	1	0.0029034650881819978	UL19_36407+
spectrum=insertion-heavy	2	8.430109518291697e-06	UL19_36407+;UL19_37448-
spectrum=insertion-heavy	3	2.4476528675910663e-08	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=insertion-heavy	4	7.106674649039212e-11	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=insertion-heavy	5	2.0633981736553402e-13	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
spectrum=insertion-heavy	6	5.991004560226772e-16	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
